"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","grp","cmb_smpEf","Temp","OxgD","COrgT","FDisp","TSolidDis","Nitratos","Silicatos","GrasAceit","SAAM","Alcalinid","Log_Cond","sed_Nitrog","sed_p_limo","sed_fosforo","sed_Sodio","sed_hierro","sed_Magnes","Cantos.rodados","Grava","Vrip","CDosel","ProfProm","Ancho","ProfCapFot","Plataf","Red.Hidrica","CuerpAgua","decimalLat","decimalLon","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche"
"72","ANH_35","Simpson diversity",14.727,38.75,7.972,23.125,54.375,"Ar_At",0.791666666666667,26.74,5.5,17.39,0.313,68,3.004,0.854,3.06,0.076,24.5,1.63346845557959,0.0609,4,0.00221,18.92,1.2,16.19,0.7,0,2,2,1.5,5,0.54,"Platero","SALADO-MAGDALENA","Caño",7.24186099158,-73.8684710395,2685.48087035,4525.4717358,586.78762,3270.63960508,8367.92871456,3761.89938629,2258.78874525,4298.48180165,3143.4926017,8296.7972305,9.76744540867,9.76744540867,3.78816821664
"73","ANH_37","Species richness",26,31.4,4.247,27.386,47.04,"Ar_At",0.638888888888889,26.87,3.9,19.63,0.313,52,3.046,0.747,3.47,0.081,28.6,1.39794000867204,0.1816,0,0.00144,19.43,0.78,36.34,0.05,0,4,1,1.5,6,0.13,"Platero","SALADO-MAGDALENA","Caño",7.24880103977,-73.8821359724,4374.1796108,6214.43823327,1585.0044614,1585.0044614,9112.84179855,5440.97508241,2901.61697834,2823.4168444,3760.47135227,7966.44347964,0,0,45.7606127029
"74","ANH_37","Shannon diversity",23.171,30.457,3.111,24.36,36.554,"Ar_At",0.638888888888889,26.87,3.9,19.63,0.313,52,3.046,0.747,3.47,0.081,28.6,1.39794000867204,0.1816,0,0.00144,19.43,0.78,36.34,0.05,0,4,1,1.5,6,0.13,"Platero","SALADO-MAGDALENA","Caño",7.24880103977,-73.8821359724,4374.1796108,6214.43823327,1585.0044614,1585.0044614,9112.84179855,5440.97508241,2901.61697834,2823.4168444,3760.47135227,7966.44347964,0,0,45.7606127029
"75","ANH_37","Simpson diversity",20.745,27.973,2.454,23.164,32.782,"Ar_At",0.638888888888889,26.87,3.9,19.63,0.313,52,3.046,0.747,3.47,0.081,28.6,1.39794000867204,0.1816,0,0.00144,19.43,0.78,36.34,0.05,0,4,1,1.5,6,0.13,"Platero","SALADO-MAGDALENA","Caño",7.24880103977,-73.8821359724,4374.1796108,6214.43823327,1585.0044614,1585.0044614,9112.84179855,5440.97508241,2901.61697834,2823.4168444,3760.47135227,7966.44347964,0,0,45.7606127029
"76","ANH_39","Species richness",16,17.339,1.741,16.191,25.409,"Ar_At",1.70277777777778,25.52,6.1,21.155,3.725,40,2.64,0.447,1.27,0.072,18.36,1.32221929473392,0.1879,10,0.00361,18.38,2.89,42.4,0.35,0.15,2,3,3.5,18,1.35,"Platero","CORREDOR","Caño",7.26584102982,-73.8877650071,4054.197194,7436.51139294,1195.87251946,1195.87251946,7296.97418103,6403.3916761,2032.94361862,899.011196148,3376.49841112,6568.11386386,4.88486825749,4.88486825749,260.342062684
"77","ANH_39","Shannon diversity",14.588,17.45,1.852,14.588,21.08,"Ar_At",1.70277777777778,25.52,6.1,21.155,3.725,40,2.64,0.447,1.27,0.072,18.36,1.32221929473392,0.1879,10,0.00361,18.38,2.89,42.4,0.35,0.15,2,3,3.5,18,1.35,"Platero","CORREDOR","Caño",7.26584102982,-73.8877650071,4054.197194,7436.51139294,1195.87251946,1195.87251946,7296.97418103,6403.3916761,2032.94361862,899.011196148,3376.49841112,6568.11386386,4.88486825749,4.88486825749,260.342062684
"78","ANH_39","Simpson diversity",13.474,17.159,1.487,14.245,20.073,"Ar_At",1.70277777777778,25.52,6.1,21.155,3.725,40,2.64,0.447,1.27,0.072,18.36,1.32221929473392,0.1879,10,0.00361,18.38,2.89,42.4,0.35,0.15,2,3,3.5,18,1.35,"Platero","CORREDOR","Caño",7.26584102982,-73.8877650071,4054.197194,7436.51139294,1195.87251946,1195.87251946,7296.97418103,6403.3916761,2032.94361862,899.011196148,3376.49841112,6568.11386386,4.88486825749,4.88486825749,260.342062684
"79","ANH_40","Species richness",13,28.125,14.584,16.087,87.105,"Ar_At",0.5,26.88,6.34,23.235,0.225,54,1.785,1.039,4.92,0.058,61.2,1.25527250510331,0.2331,8,0.00477,21.3,1.83,49.7,0.05,0,4,3,1.5,4.5,1.5,"Platero","CORREDOR","Quebrada",7.27412100905,-73.8137369603,3865.38412882,178.876064442,4295.83935212,4477.80598943,2992.4377308,545.240105442,4699.93607837,8589.42416737,4182.06518742,5044.71469953,3.45538576769,3.45538576769,264.388972017
"80","ANH_40","Shannon diversity",12.469,28.125,6.671,15.051,41.199,"Ar_At",0.5,26.88,6.34,23.235,0.225,54,1.785,1.039,4.92,0.058,61.2,1.25527250510331,0.2331,8,0.00477,21.3,1.83,49.7,0.05,0,4,3,1.5,4.5,1.5,"Platero","CORREDOR","Quebrada",7.27412100905,-73.8137369603,3865.38412882,178.876064442,4295.83935212,4477.80598943,2992.4377308,545.240105442,4699.93607837,8589.42416737,4182.06518742,5044.71469953,3.45538576769,3.45538576769,264.388972017
"81","ANH_40","Simpson diversity",11.842,26.75,6.203,14.593,38.907,"Ar_At",0.5,26.88,6.34,23.235,0.225,54,1.785,1.039,4.92,0.058,61.2,1.25527250510331,0.2331,8,0.00477,21.3,1.83,49.7,0.05,0,4,3,1.5,4.5,1.5,"Platero","CORREDOR","Quebrada",7.27412100905,-73.8137369603,3865.38412882,178.876064442,4295.83935212,4477.80598943,2992.4377308,545.240105442,4699.93607837,8589.42416737,4182.06518742,5044.71469953,3.45538576769,3.45538576769,264.388972017
"82","ANH_43","Species richness",19,20.333,1.648,19.202,27.803,"Ar_At",0.916666666666667,26.51,6.1,14.56,0.275,96,2.19,1.053,0.97,0.054,28.56,1.46239799789896,0.2501,10,0.00393,20.65,5.99,29.84,0,0.2,2,2,0.85,8,0.85,"Platero","CORREDOR","Quebrada",7.26485598856,-73.8733619638,4843.14845279,5895.42061852,2434.42420069,2434.42420069,7284.4078322,5541.87026023,971.209078924,2276.85820497,4852.18024448,5963.85139677,0,0,78.6478687443
"83","ANH_43","Shannon diversity",17.65,20.43,1.909,17.65,24.171,"Ar_At",0.916666666666667,26.51,6.1,14.56,0.275,96,2.19,1.053,0.97,0.054,28.56,1.46239799789896,0.2501,10,0.00393,20.65,5.99,29.84,0,0.2,2,2,0.85,8,0.85,"Platero","CORREDOR","Quebrada",7.26485598856,-73.8733619638,4843.14845279,5895.42061852,2434.42420069,2434.42420069,7284.4078322,5541.87026023,971.209078924,2276.85820497,4852.18024448,5963.85139677,0,0,78.6478687443
"84","ANH_43","Simpson diversity",16.615,20.333,1.506,17.381,23.286,"Ar_At",0.916666666666667,26.51,6.1,14.56,0.275,96,2.19,1.053,0.97,0.054,28.56,1.46239799789896,0.2501,10,0.00393,20.65,5.99,29.84,0,0.2,2,2,0.85,8,0.85,"Platero","CORREDOR","Quebrada",7.26485598856,-73.8733619638,4843.14845279,5895.42061852,2434.42420069,2434.42420069,7284.4078322,5541.87026023,971.209078924,2276.85820497,4852.18024448,5963.85139677,0,0,78.6478687443
"85","ANH_7","Species richness",16,19.048,3.003,16.606,31.315,"Ar_At",1.76666666666667,25.93,4.98,17.645,0.115,36,0.6063,0.201,2.16,0.058,51.974,1.27875360095283,0.2118,4,0.00284,20.28,0.45,41.8,0.25,0,1,1,0.5,3.5,1.35,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",7.35131699616,-73.8273490034,2577.46852082,299.1970037,5951.10156398,5951.10156398,2676.63298397,2865.48305407,1146.58355249,5185.77379608,8317.10899692,2107.99776216,0,0,18.8753280657
