"Punto.Fijo.eventPer","Punto.Fijo.order","Punto.Fijo.observado","Punto.Fijo.estimado","Punto.Fijo.s.e.","Punto.Fijo.LCL","Punto.Fijo.UCL","Punto.Fijo.parentEventID","Punto.Fijo.Dis_Cienag","Punto.Fijo.Dis_MGSG","Punto.Fijo.Dis_Dre345","Punto.Fijo.DisBosque","Punto.Fijo.Dis_CobNat","Punto.Fijo.Tam_Parche","Punto.Fijo.Dis_CP","Punto.Fijo.Dis_Oleodu","Punto.Fijo.Dis_Pozo","Punto.Fijo.Dis_Pozact","Punto.Fijo.Dis_Ferroc","Punto.Fijo.Dis_ViaPri","Punto.Fijo.Dia_ViaSec","Punto.Fijo.Plataf","Punto.Fijo.CobAves"
"ANH_226_21","Shannon diversity",10.262,13.809,2.863,10.262,19.42,"ANH_226",3585.02524121,2201.95030505,9543.14632821,1194.07698026,352.268683748,841.669467865,4357.4931159,7185.61774977,1956.70367542,1956.70367542,10308.6371862,6642.7120178,4475.02559896,"Platero","Palma"
"ANH_226_21","Simpson diversity",8.068,9.612,2.056,8.068,13.641,"ANH_226",3585.02524121,2201.95030505,9543.14632821,1194.07698026,352.268683748,841.669467865,4357.4931159,7185.61774977,1956.70367542,1956.70367542,10308.6371862,6642.7120178,4475.02559896,"Platero","Palma"
"ANH_227_21","Species richness",35,37.558,2.802,35.449,49.58,"ANH_227",9207.27755886,1464.09731436,5335.64445788,1155.26100605,1155.26100605,841.669467865,2367.93187217,871.593523562,1815.22383693,2013.12071448,2845.32682283,875.25617641,3274.94846683,"Platero","Palma"
"ANH_227_21","Shannon diversity",19.794,22.063,1.783,19.794,25.558,"ANH_227",9207.27755886,1464.09731436,5335.64445788,1155.26100605,1155.26100605,841.669467865,2367.93187217,871.593523562,1815.22383693,2013.12071448,2845.32682283,875.25617641,3274.94846683,"Platero","Palma"
"ANH_227_21","Simpson diversity",11.159,11.811,1.808,11.159,15.354,"ANH_227",9207.27755886,1464.09731436,5335.64445788,1155.26100605,1155.26100605,841.669467865,2367.93187217,871.593523562,1815.22383693,2013.12071448,2845.32682283,875.25617641,3274.94846683,"Platero","Palma"
"ANH_228_21","Species richness",34,81.796,36.699,46.587,215.496,"ANH_228",4320.92418543,6396.17803907,3106.30374988,10.0375844771,10.0375844771,37.7344244694,4758.14105118,1052.1835542,2958.71739264,2958.71739264,5166.73316009,5268.49680825,774.575064101,"Kale","Bosque Ripario"
"ANH_228_21","Shannon diversity",20.159,26.831,3.861,20.159,34.398,"ANH_228",4320.92418543,6396.17803907,3106.30374988,10.0375844771,10.0375844771,37.7344244694,4758.14105118,1052.1835542,2958.71739264,2958.71739264,5166.73316009,5268.49680825,774.575064101,"Kale","Bosque Ripario"
"ANH_228_21","Simpson diversity",14.083,15.673,2.107,14.083,19.802,"ANH_228",4320.92418543,6396.17803907,3106.30374988,10.0375844771,10.0375844771,37.7344244694,4758.14105118,1052.1835542,2958.71739264,2958.71739264,5166.73316009,5268.49680825,774.575064101,"Kale","Bosque Ripario"
"ANH_229_21","Species richness",37,63.821,17.509,45.343,123.226,"ANH_229",2291.73507005,5268.55767892,276.324895518,12.9398001652,12.9398001652,609.783370423,2013.24418956,1775.60750483,5778.71160688,5778.71160688,1315.53585145,1561.92196019,1823.89118076,"Kale","Bosque Ripario"
"ANH_229_21","Shannon diversity",18.174,22.727,2.651,18.174,27.922,"ANH_229",2291.73507005,5268.55767892,276.324895518,12.9398001652,12.9398001652,609.783370423,2013.24418956,1775.60750483,5778.71160688,5778.71160688,1315.53585145,1561.92196019,1823.89118076,"Kale","Bosque Ripario"
"ANH_229_21","Simpson diversity",10.474,11.18,1.751,10.474,14.612,"ANH_229",2291.73507005,5268.55767892,276.324895518,12.9398001652,12.9398001652,609.783370423,2013.24418956,1775.60750483,5778.71160688,5778.71160688,1315.53585145,1561.92196019,1823.89118076,"Kale","Bosque Ripario"
"ANH_230_21","Species richness",34,64.059,28.467,40.265,178.227,"ANH_230",3312.53456024,5418.32699717,1024.36323941,0,0,135.594330327,2771.27174843,2853.82963847,5046.88366985,6740.21787241,2387.1218324,1912.03441821,2497.44819393,"Platero","Bosque Ripario"
"ANH_230_21","Shannon diversity",23.644,28.566,2.629,23.644,33.718,"ANH_230",3312.53456024,5418.32699717,1024.36323941,0,0,135.594330327,2771.27174843,2853.82963847,5046.88366985,6740.21787241,2387.1218324,1912.03441821,2497.44819393,"Platero","Bosque Ripario"
"ANH_230_21","Simpson diversity",18.169,20.4,2.244,18.169,24.799,"ANH_230",3312.53456024,5418.32699717,1024.36323941,0,0,135.594330327,2771.27174843,2853.82963847,5046.88366985,6740.21787241,2387.1218324,1912.03441821,2497.44819393,"Platero","Bosque Ripario"
"ANH_232_21","Species richness",38,51.961,9.503,42.166,84.786,"ANH_232",2004.35102172,4024.70508438,3402.51882158,2.59568696344,2.59568696344,841.669467865,3576.72865537,5186.71826932,3733.31118819,4360.87753396,4506.22260698,3720.85932815,1043.96213494,"Platero","Bosque Ripario"
"ANH_232_21","Shannon diversity",23.911,29.407,2.555,24.4,34.415,"ANH_232",2004.35102172,4024.70508438,3402.51882158,2.59568696344,2.59568696344,841.669467865,3576.72865537,5186.71826932,3733.31118819,4360.87753396,4506.22260698,3720.85932815,1043.96213494,"Platero","Bosque Ripario"
"ANH_232_21","Simpson diversity",16.933,19.144,2.343,16.933,23.736,"ANH_232",2004.35102172,4024.70508438,3402.51882158,2.59568696344,2.59568696344,841.669467865,3576.72865537,5186.71826932,3733.31118819,4360.87753396,4506.22260698,3720.85932815,1043.96213494,"Platero","Bosque Ripario"
"ANH_233_21","Species richness",36,55.455,14.258,41.382,106.329,"ANH_233",5379.68543904,6012.21972206,3233.15925952,9.87933466837,9.87933466837,14.4854172386,4573.89251524,2713.8761345,2594.03763311,6536.90548338,4741.493095,2723.32027248,3088.85023849,"Platero","Bosque Ripario"
"ANH_233_21","Shannon diversity",23.607,29.362,3.222,23.607,35.676,"ANH_233",5379.68543904,6012.21972206,3233.15925952,9.87933466837,9.87933466837,14.4854172386,4573.89251524,2713.8761345,2594.03763311,6536.90548338,4741.493095,2723.32027248,3088.85023849,"Platero","Bosque Ripario"
"ANH_233_21","Simpson diversity",17.275,19.663,2.256,17.275,24.086,"ANH_233",5379.68543904,6012.21972206,3233.15925952,9.87933466837,9.87933466837,14.4854172386,4573.89251524,2713.8761345,2594.03763311,6536.90548338,4741.493095,2723.32027248,3088.85023849,"Platero","Bosque Ripario"
"ANH_235_21","Species richness",23,26.556,3.809,23.641,42.732,"ANH_235",7173.31727381,3799.12209305,5358.56491923,0,0,86.2216461436,4666.53742782,1294.81275918,2751.64354839,4731.70529201,4497.67979539,2013.2505554,3222.96329509,"Platero","Bosque Ripario"
"ANH_235_21","Shannon diversity",18.083,21.587,2.016,18.083,25.538,"ANH_235",7173.31727381,3799.12209305,5358.56491923,0,0,86.2216461436,4666.53742782,1294.81275918,2751.64354839,4731.70529201,4497.67979539,2013.2505554,3222.96329509,"Platero","Bosque Ripario"
"ANH_235_21","Simpson diversity",15.152,18.409,2.093,15.152,22.511,"ANH_235",7173.31727381,3799.12209305,5358.56491923,0,0,86.2216461436,4666.53742782,1294.81275918,2751.64354839,4731.70529201,4497.67979539,2013.2505554,3222.96329509,"Platero","Bosque Ripario"
"ANH_236_21","Species richness",41,60.465,14.265,46.385,111.364,"ANH_236",5788.55708149,8936.35853188,1741.34356311,123.630553496,123.630553496,70.602036402,2486.97544432,275.818502102,6710.999983,6710.999983,2245.29378354,2570.77780528,1867.44389654,"Kale","Bosque Ripario"
