"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"643","ANH_76_M_R14","Species richness",1,1,0.312,1,2.549,"ANH_76","RdN",0.736842105263158
"644","ANH_76_M_R14","Shannon diversity",1,0,0,1,0,"ANH_76","RdN",0.736842105263158
"645","ANH_76_M_R14","Simpson diversity",1,1,0,1,1,"ANH_76","RdN",0.736842105263158
"646","ANH_89_M_R09","Species richness",1,1,0.2,1,1.464,"ANH_89","RdN",0.263157894736842
"647","ANH_89_M_R09","Shannon diversity",1,1,0,1,1,"ANH_89","RdN",0.263157894736842
"648","ANH_89_M_R09","Simpson diversity",1,1,0,1,1,"ANH_89","RdN",0.263157894736842
"649","ANH_89_M_R10","Species richness",1,1,0.312,1,2.549,"ANH_89","RdN",0.263157894736842
"650","ANH_89_M_R10","Shannon diversity",1,0,0,1,0,"ANH_89","RdN",0.263157894736842
"651","ANH_89_M_R10","Simpson diversity",1,1,0,1,1,"ANH_89","RdN",0.263157894736842
"652","ANH_89_M_R05","Species richness",1,1,0.312,1,2.549,"ANH_89","RdN",0.263157894736842
"653","ANH_89_M_R05","Shannon diversity",1,0,0,1,0,"ANH_89","RdN",0.263157894736842
"654","ANH_89_M_R05","Simpson diversity",1,1,0,1,1,"ANH_89","RdN",0.263157894736842
"655","ANH_89_M_R13","Species richness",1,1,0.312,1,2.549,"ANH_89","RdN",0.263157894736842
"656","ANH_89_M_R13","Shannon diversity",1,0,0,1,0,"ANH_89","RdN",0.263157894736842
"657","ANH_89_M_R13","Simpson diversity",1,1,0,1,1,"ANH_89","RdN",0.263157894736842
"658","ANH_89_M_R19","Species richness",1,1,0.312,1,2.549,"ANH_89","RdN",0.263157894736842
"659","ANH_89_M_R19","Shannon diversity",1,0,0,1,0,"ANH_89","RdN",0.263157894736842
"660","ANH_89_M_R19","Simpson diversity",1,1,0,1,1,"ANH_89","RdN",0.263157894736842
"661","ANH_90_M_R20","Species richness",4,8.5,5.275,4.727,31.843,"ANH_90","RdN",0.894736842105263
"662","ANH_90_M_R20","Shannon diversity",4,12.275,3.73,4.964,19.586,"ANH_90","RdN",0.894736842105263
"663","ANH_90_M_R20","Simpson diversity",4,4,1.413,4,6.769,"ANH_90","RdN",0.894736842105263
"664","ANH_90_M_R05","Species richness",1,1,0.2,1,1.464,"ANH_90","RdN",0.894736842105263
"665","ANH_90_M_R05","Shannon diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"666","ANH_90_M_R05","Simpson diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"667","ANH_90_M_R01","Species richness",4,4.143,0.481,4.006,7.192,"ANH_90","RdN",0.894736842105263
"668","ANH_90_M_R01","Shannon diversity",3.864,5.009,1.553,3.864,8.052,"ANH_90","RdN",0.894736842105263
"669","ANH_90_M_R01","Simpson diversity",3.769,7,1.993,3.769,10.906,"ANH_90","RdN",0.894736842105263
"670","ANH_90_M_R10","Species richness",2,2,0.461,2,3.572,"ANH_90","RdN",0.894736842105263
"671","ANH_90_M_R10","Shannon diversity",1.569,1.728,0.432,1.569,2.575,"ANH_90","RdN",0.894736842105263
"672","ANH_90_M_R10","Simpson diversity",1.385,1.5,0.455,1.385,2.391,"ANH_90","RdN",0.894736842105263
"673","ANH_90_M_R04","Species richness",1,1,0.312,1,2.549,"ANH_90","RdN",0.894736842105263
"674","ANH_90_M_R04","Shannon diversity",1,0,0,1,0,"ANH_90","RdN",0.894736842105263
"675","ANH_90_M_R04","Simpson diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"676","ANH_90_M_R08","Species richness",1,1,0.129,1,1.276,"ANH_90","RdN",0.894736842105263
"677","ANH_90_M_R08","Shannon diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"678","ANH_90_M_R08","Simpson diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"679","ANH_90_M_R06","Species richness",1,1,0.312,1,2.549,"ANH_90","RdN",0.894736842105263
"680","ANH_90_M_R06","Shannon diversity",1,0,0,1,0,"ANH_90","RdN",0.894736842105263
"681","ANH_90_M_R06","Simpson diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"682","ANH_90_M_R09","Species richness",1,1,0.08,1,1.165,"ANH_90","RdN",0.894736842105263
"683","ANH_90_M_R09","Shannon diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"684","ANH_90_M_R09","Simpson diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"685","ANH_90_M_R07","Species richness",1,1,0.312,1,2.549,"ANH_90","RdN",0.894736842105263
"686","ANH_90_M_R07","Shannon diversity",1,0,0,1,0,"ANH_90","RdN",0.894736842105263
"687","ANH_90_M_R07","Simpson diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"688","ANH_90_M_R17","Species richness",1,1,0.284,1,1.799,"ANH_90","RdN",0.894736842105263
"689","ANH_90_M_R17","Shannon diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"690","ANH_90_M_R17","Simpson diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"691","ANH_90_M_R12","Species richness",2,2.333,0.943,2.018,8.09,"ANH_90","RdN",0.894736842105263
"692","ANH_90_M_R12","Shannon diversity",1.89,2.52,1.715,1.89,5.881,"ANH_90","RdN",0.894736842105263
"693","ANH_90_M_R12","Simpson diversity",1.8,3,0.89,1.8,4.745,"ANH_90","RdN",0.894736842105263
"694","ANH_90_M_R13","Species richness",1,1,0.312,1,2.549,"ANH_90","RdN",0.894736842105263
"695","ANH_90_M_R13","Shannon diversity",1,0,0,1,0,"ANH_90","RdN",0.894736842105263
"696","ANH_90_M_R13","Simpson diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"697","ANH_90_M_R11","Species richness",1,1,0.284,1,1.799,"ANH_90","RdN",0.894736842105263
"698","ANH_90_M_R11","Shannon diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"699","ANH_90_M_R11","Simpson diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"700","ANH_90_M_R16","Species richness",2,2.333,0.943,2.018,8.09,"ANH_90","RdN",0.894736842105263
"701","ANH_90_M_R16","Shannon diversity",1.89,2.52,1.931,1.89,6.305,"ANH_90","RdN",0.894736842105263
"702","ANH_90_M_R16","Simpson diversity",1.8,3,0.885,1.8,4.734,"ANH_90","RdN",0.894736842105263
"703","ANH_90_M_R18","Species richness",1,1,0.312,1,2.549,"ANH_90","RdN",0.894736842105263
"704","ANH_90_M_R18","Shannon diversity",1,0,0,1,0,"ANH_90","RdN",0.894736842105263
"705","ANH_90_M_R18","Simpson diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"706","ANH_90_M_R19","Species richness",1,1,0.312,1,2.549,"ANH_90","RdN",0.894736842105263
"707","ANH_90_M_R19","Shannon diversity",1,0,0,1,0,"ANH_90","RdN",0.894736842105263
"708","ANH_90_M_R19","Simpson diversity",1,1,0,1,1,"ANH_90","RdN",0.894736842105263
"709","ANH_92_M_R08","Species richness",5,10.647,6.613,5.914,39.894,"ANH_92","RdN",0.894736842105263
"710","ANH_92_M_R08","Shannon diversity",2.391,3.272,1.162,2.391,5.55,"ANH_92","RdN",0.894736842105263
"711","ANH_92_M_R08","Simpson diversity",1.671,1.744,0.588,1.671,2.895,"ANH_92","RdN",0.894736842105263
"712","ANH_92_M_R01","Species richness",3,3.8,1.734,3.06,13.615,"ANH_92","RdN",0.894736842105263
"713","ANH_92_M_R01","Shannon diversity",2.586,3.699,1.256,2.586,6.162,"ANH_92","RdN",0.894736842105263
"714","ANH_92_M_R01","Simpson diversity",2.273,3.333,1.927,2.273,7.111,"ANH_92","RdN",0.894736842105263
"715","ANH_92_M_R02","Species richness",3,5,2.921,3.246,19.244,"ANH_92","RdN",0.894736842105263
"716","ANH_92_M_R02","Shannon diversity",3,7.184,2.372,3,11.834,"ANH_92","RdN",0.894736842105263
"717","ANH_92_M_R02","Simpson diversity",3,3,0.544,3,4.066,"ANH_92","RdN",0.894736842105263
"718","ANH_92_M_R05","Species richness",1,1,0.2,1,1.464,"ANH_92","RdN",0.894736842105263
"719","ANH_92_M_R05","Shannon diversity",1,1,0,1,1,"ANH_92","RdN",0.894736842105263
"720","ANH_92_M_R05","Simpson diversity",1,1,0,1,1,"ANH_92","RdN",0.894736842105263
"721","ANH_92_M_R06","Species richness",1,1,0.312,1,2.549,"ANH_92","RdN",0.894736842105263
"722","ANH_92_M_R06","Shannon diversity",1,0,0,1,0,"ANH_92","RdN",0.894736842105263
"723","ANH_92_M_R06","Simpson diversity",1,1,0,1,1,"ANH_92","RdN",0.894736842105263
"724","ANH_92_M_R09","Species richness",3,3.417,1.133,3.024,10.27,"ANH_92","RdN",0.894736842105263
"725","ANH_92_M_R09","Shannon diversity",2.749,3.502,1.238,2.749,5.928,"ANH_92","RdN",0.894736842105263
"726","ANH_92_M_R09","Simpson diversity",2.571,3.75,1.661,2.571,7.006,"ANH_92","RdN",0.894736842105263
"727","ANH_92_M_R10","Species richness",1,1,0.284,1,1.799,"ANH_92","RdN",0.894736842105263
"728","ANH_92_M_R10","Shannon diversity",1,1,0,1,1,"ANH_92","RdN",0.894736842105263
"729","ANH_92_M_R10","Simpson diversity",1,1,0,1,1,"ANH_92","RdN",0.894736842105263
"730","ANH_92_M_R04","Species richness",1,1,0.312,1,2.549,"ANH_92","RdN",0.894736842105263
"731","ANH_92_M_R04","Shannon diversity",1,0,0,1,0,"ANH_92","RdN",0.894736842105263
"732","ANH_92_M_R04","Simpson diversity",1,1,0,1,1,"ANH_92","RdN",0.894736842105263
"733","ANH_92_M_R13","Species richness",2,2,0.465,2,3.569,"ANH_92","RdN",0.894736842105263
"734","ANH_92_M_R13","Shannon diversity",1.458,1.567,0.378,1.458,2.308,"ANH_92","RdN",0.894736842105263
"735","ANH_92_M_R13","Simpson diversity",1.28,1.333,0.346,1.28,2.012,"ANH_92","RdN",0.894736842105263
"736","ANH_92_M_R18","Species richness",3,3.889,1.906,3.068,14.638,"ANH_92","RdN",0.894736842105263
"737","ANH_92_M_R18","Shannon diversity",1.981,2.427,0.595,1.981,3.594,"ANH_92","RdN",0.894736842105263
"738","ANH_92_M_R18","Simpson diversity",1.588,1.714,0.551,1.588,2.794,"ANH_92","RdN",0.894736842105263
"739","ANH_92_M_R20","Species richness",3,3.9,1.927,3.069,14.766,"ANH_92","RdN",0.894736842105263
"740","ANH_92_M_R20","Shannon diversity",1.895,2.276,0.592,1.895,3.436,"ANH_92","RdN",0.894736842105263
"741","ANH_92_M_R20","Simpson diversity",1.515,1.607,0.515,1.515,2.616,"ANH_92","RdN",0.894736842105263
"742","ANH_92_M_R11","Species richness",1,1,0.049,1,1.099,"ANH_92","RdN",0.894736842105263
"743","ANH_92_M_R11","Shannon diversity",1,1,0,1,1,"ANH_92","RdN",0.894736842105263
"744","ANH_92_M_R11","Simpson diversity",1,1,0,1,1,"ANH_92","RdN",0.894736842105263
"745","ANH_92_M_R17","Species richness",3,3.8,1.734,3.06,13.615,"ANH_92","RdN",0.894736842105263
"746","ANH_92_M_R17","Shannon diversity",2.586,3.699,1.623,2.586,6.879,"ANH_92","RdN",0.894736842105263
"747","ANH_92_M_R17","Simpson diversity",2.273,3.333,1.885,2.273,7.029,"ANH_92","RdN",0.894736842105263
"748","ANH_92_M_R12","Species richness",1,1,0.2,1,1.464,"ANH_92","RdN",0.894736842105263
"749","ANH_92_M_R12","Shannon diversity",1,1,0,1,1,"ANH_92","RdN",0.894736842105263
"750","ANH_92_M_R12","Simpson diversity",1,1,0,1,1,"ANH_92","RdN",0.894736842105263
"751","ANH_92_M_R19","Species richness",1,1,0.312,1,2.549,"ANH_92","RdN",0.894736842105263
"752","ANH_92_M_R19","Shannon diversity",1,0,0,1,0,"ANH_92","RdN",0.894736842105263
"753","ANH_92_M_R19","Simpson diversity",1,1,0,1,1,"ANH_92","RdN",0.894736842105263
"754","ANH_92_M_R14","Species richness",1,1,0.312,1,2.549,"ANH_92","RdN",0.894736842105263
"755","ANH_92_M_R14","Shannon diversity",1,0,0,1,0,"ANH_92","RdN",0.894736842105263
"756","ANH_92_M_R14","Simpson diversity",1,1,0,1,1,"ANH_92","RdN",0.894736842105263
"757","ANH_93_M_R17","Species richness",3,3,0.489,3,4.575,"ANH_93","RdN",0.947368421052632
"758","ANH_93_M_R17","Shannon diversity",2.625,2.969,0.486,2.625,3.922,"ANH_93","RdN",0.947368421052632
"759","ANH_93_M_R17","Simpson diversity",2.455,3,0.648,2.455,4.27,"ANH_93","RdN",0.947368421052632
"760","ANH_93_M_R02","Species richness",4,4.917,2.004,4.068,16.289,"ANH_93","RdN",0.947368421052632
"761","ANH_93_M_R02","Shannon diversity",3.086,3.759,0.697,3.086,5.124,"ANH_93","RdN",0.947368421052632
"762","ANH_93_M_R02","Simpson diversity",2.667,3.143,0.752,2.667,4.616,"ANH_93","RdN",0.947368421052632
"763","ANH_93_M_R06","Species richness",3,3.8,1.734,3.06,13.615,"ANH_93","RdN",0.947368421052632
"764","ANH_93_M_R06","Shannon diversity",2.586,3.699,1.389,2.586,6.422,"ANH_93","RdN",0.947368421052632
"765","ANH_93_M_R06","Simpson diversity",2.273,2.273,1.444,2.273,5.103,"ANH_93","RdN",0.947368421052632
"766","ANH_93_M_R07","Species richness",3,3,0.504,3,4.666,"ANH_93","RdN",0.947368421052632
"767","ANH_93_M_R07","Shannon diversity",2.649,3.046,0.561,2.649,4.145,"ANH_93","RdN",0.947368421052632
"768","ANH_93_M_R07","Simpson diversity",2.462,3.111,0.715,2.462,4.512,"ANH_93","RdN",0.947368421052632
"769","ANH_93_M_R10","Species richness",4,5.75,3.307,4.156,23.607,"ANH_93","RdN",0.947368421052632
"770","ANH_93_M_R10","Shannon diversity",3.364,4.783,1.857,3.364,8.424,"ANH_93","RdN",0.947368421052632
"771","ANH_93_M_R10","Simpson diversity",2.909,4,2,2.909,7.919,"ANH_93","RdN",0.947368421052632
"772","ANH_93_M_R09","Species richness",2,2.333,0.943,2.018,8.09,"ANH_93","RdN",0.947368421052632
"773","ANH_93_M_R09","Shannon diversity",1.89,2.52,1.722,1.89,5.896,"ANH_93","RdN",0.947368421052632
"774","ANH_93_M_R09","Simpson diversity",1.8,3,0.874,1.8,4.713,"ANH_93","RdN",0.947368421052632
"775","ANH_93_M_R04","Species richness",2,2.333,0.943,2.018,8.09,"ANH_93","RdN",0.947368421052632
"776","ANH_93_M_R04","Shannon diversity",1.89,2.52,1.784,1.89,6.016,"ANH_93","RdN",0.947368421052632
"777","ANH_93_M_R04","Simpson diversity",1.8,3,0.844,1.8,4.654,"ANH_93","RdN",0.947368421052632
"778","ANH_93_M_R05","Species richness",3,5,2.921,3.246,19.244,"ANH_93","RdN",0.947368421052632
"779","ANH_93_M_R05","Shannon diversity",3,7.184,2.386,3,11.861,"ANH_93","RdN",0.947368421052632
"780","ANH_93_M_R05","Simpson diversity",3,3,0.593,3,4.163,"ANH_93","RdN",0.947368421052632
"781","ANH_93_M_R08","Species richness",1,1,0.312,1,2.549,"ANH_93","RdN",0.947368421052632
"782","ANH_93_M_R08","Shannon diversity",1,0,0,1,0,"ANH_93","RdN",0.947368421052632
"783","ANH_93_M_R08","Simpson diversity",1,1,0,1,1,"ANH_93","RdN",0.947368421052632
"784","ANH_93_M_R13","Species richness",1,1,0.312,1,2.549,"ANH_93","RdN",0.947368421052632
"785","ANH_93_M_R13","Shannon diversity",1,0,0,1,0,"ANH_93","RdN",0.947368421052632
"786","ANH_93_M_R13","Simpson diversity",1,1,0,1,1,"ANH_93","RdN",0.947368421052632
"787","ANH_93_M_R20","Species richness",2,2,0.241,2,2.56,"ANH_93","RdN",0.947368421052632
"788","ANH_93_M_R20","Shannon diversity",1.98,2.137,0.229,1.98,2.585,"ANH_93","RdN",0.947368421052632
"789","ANH_93_M_R20","Simpson diversity",1.96,2.333,0.354,1.96,3.028,"ANH_93","RdN",0.947368421052632
"790","ANH_93_M_R15","Species richness",3,3.2,0.616,3.01,7.039,"ANH_93","RdN",0.947368421052632
"791","ANH_93_M_R15","Shannon diversity",2.872,3.736,1.844,2.872,7.35,"ANH_93","RdN",0.947368421052632
"792","ANH_93_M_R15","Simpson diversity",2.778,5,2.274,2.778,9.457,"ANH_93","RdN",0.947368421052632
"793","ANH_93_M_R12","Species richness",6,8.824,4.171,6.343,29.262,"ANH_93","RdN",0.947368421052632
"794","ANH_93_M_R12","Shannon diversity",4.635,6.046,1.383,4.635,8.757,"ANH_93","RdN",0.947368421052632
"795","ANH_93_M_R12","Simpson diversity",3.959,4.857,1.181,3.959,7.171,"ANH_93","RdN",0.947368421052632
"796","ANH_93_M_R11","Species richness",2,2,0.461,2,3.671,"ANH_93","RdN",0.947368421052632
"797","ANH_93_M_R11","Shannon diversity",1.755,2.031,0.531,1.755,3.071,"ANH_93","RdN",0.947368421052632
"798","ANH_93_M_R11","Simpson diversity",1.6,1.6,0.752,1.6,3.074,"ANH_93","RdN",0.947368421052632
"799","ANH_93_M_R14","Species richness",2,2,0.359,2,2.98,"ANH_93","RdN",0.947368421052632
"800","ANH_93_M_R14","Shannon diversity",1.96,2.189,0.324,1.96,2.823,"ANH_93","RdN",0.947368421052632
"801","ANH_93_M_R14","Simpson diversity",1.923,2.5,0.489,1.923,3.458,"ANH_93","RdN",0.947368421052632
"802","ANH_93_M_R16","Species richness",3,4.5,2.872,3.132,20.083,"ANH_93","RdN",0.947368421052632
"803","ANH_93_M_R16","Shannon diversity",2.828,4.891,2.796,2.828,10.372,"ANH_93","RdN",0.947368421052632
"804","ANH_93_M_R16","Simpson diversity",2.667,2.667,1.6,2.667,5.803,"ANH_93","RdN",0.947368421052632
"805","ANH_93_M_R18","Species richness",1,1,0.284,1,1.799,"ANH_93","RdN",0.947368421052632
"806","ANH_93_M_R18","Shannon diversity",1,1,0,1,1,"ANH_93","RdN",0.947368421052632
"807","ANH_93_M_R18","Simpson diversity",1,1,0,1,1,"ANH_93","RdN",0.947368421052632
"808","ANH_93_M_R19","Species richness",1,1,0.284,1,1.799,"ANH_93","RdN",0.947368421052632
"809","ANH_93_M_R19","Shannon diversity",1,1,0,1,1,"ANH_93","RdN",0.947368421052632
"810","ANH_93_M_R19","Simpson diversity",1,1,0,1,1,"ANH_93","RdN",0.947368421052632
"811","ANH_96_M_R09","Species richness",3,3.2,0.616,3.01,7.039,"ANH_96","RdN",0.894736842105263
"812","ANH_96_M_R09","Shannon diversity",2.872,3.736,1.928,2.872,7.515,"ANH_96","RdN",0.894736842105263
"813","ANH_96_M_R09","Simpson diversity",2.778,5,2.262,2.778,9.433,"ANH_96","RdN",0.894736842105263
"814","ANH_96_M_R07","Species richness",4,4.889,1.949,4.066,15.961,"ANH_96","RdN",0.894736842105263
"815","ANH_96_M_R07","Shannon diversity",3.37,4.382,1.041,3.37,6.423,"ANH_96","RdN",0.894736842105263
"816","ANH_96_M_R07","Simpson diversity",3,4,1.126,3,6.208,"ANH_96","RdN",0.894736842105263
"817","ANH_96_M_R06","Species richness",2,2.5,1.107,2.037,8.808,"ANH_96","RdN",0.894736842105263
"818","ANH_96_M_R06","Shannon diversity",2,3.375,1.106,2,5.543,"ANH_96","RdN",0.894736842105263
"819","ANH_96_M_R06","Simpson diversity",2,2,0.491,2,2.963,"ANH_96","RdN",0.894736842105263
"820","ANH_96_M_R05","Species richness",2,2.5,1.107,2.037,8.808,"ANH_96","RdN",0.894736842105263
"821","ANH_96_M_R05","Shannon diversity",2,3.375,1.146,2,5.622,"ANH_96","RdN",0.894736842105263
"822","ANH_96_M_R05","Simpson diversity",2,2,0.462,2,2.905,"ANH_96","RdN",0.894736842105263
"823","ANH_96_M_R10","Species richness",3,5,2.921,3.246,19.244,"ANH_96","RdN",0.894736842105263
"824","ANH_96_M_R10","Shannon diversity",3,7.184,2.455,3,11.996,"ANH_96","RdN",0.894736842105263
"825","ANH_96_M_R10","Simpson diversity",3,3,0.639,3,4.253,"ANH_96","RdN",0.894736842105263
"826","ANH_96_M_R02","Species richness",4,5.75,3.307,4.156,23.607,"ANH_96","RdN",0.894736842105263
"827","ANH_96_M_R02","Shannon diversity",3.364,4.783,1.84,3.364,8.389,"ANH_96","RdN",0.894736842105263
"828","ANH_96_M_R02","Simpson diversity",2.909,4,2.084,2.909,8.085,"ANH_96","RdN",0.894736842105263
"829","ANH_96_M_R04","Species richness",4,4.833,1.603,4.073,13.544,"ANH_96","RdN",0.894736842105263
"830","ANH_96_M_R04","Shannon diversity",3.78,5.605,2.369,3.78,10.248,"ANH_96","RdN",0.894736842105263
"831","ANH_96_M_R04","Simpson diversity",3.6,7.5,3.158,3.6,13.69,"ANH_96","RdN",0.894736842105263
"832","ANH_96_M_R08","Species richness",1,1,0.312,1,2.549,"ANH_96","RdN",0.894736842105263
"833","ANH_96_M_R08","Shannon diversity",1,0,0,1,0,"ANH_96","RdN",0.894736842105263
"834","ANH_96_M_R08","Simpson diversity",1,1,0,1,1,"ANH_96","RdN",0.894736842105263
"835","ANH_96_M_R13","Species richness",2,2,0.401,2,3.222,"ANH_96","RdN",0.894736842105263
"836","ANH_96_M_R13","Shannon diversity",2,2.301,0.345,2,2.977,"ANH_96","RdN",0.894736842105263
"837","ANH_96_M_R13","Simpson diversity",2,3,0.72,2,4.41,"ANH_96","RdN",0.894736842105263
"838","ANH_96_M_R12","Species richness",3,5,2.921,3.246,19.244,"ANH_96","RdN",0.894736842105263
