"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobAves","samplEff.1"
"18","ANH_218","Simpson diversity",7.493,9.037,1.46,7.493,11.897,2021.37946113,5126.05882783,300.6829539,296.654989305,83.4001852686,339.461567954,2989.69702765,366.124837699,4543.75243392,4543.75243392,2783.04555952,2977.12608219,1940.21570821,"Kale","Palma",1
"19","ANH_228","Species richness",19,38.943,19.889,22.913,120.643,4320.92418543,6396.17803907,3106.30374988,10.0375844771,10.0375844771,37.7344244694,4758.14105118,1052.1835542,2958.71739264,2958.71739264,5166.73316009,5268.49680825,774.575064101,"Kale","Bosque Ripario",1
"20","ANH_228","Shannon diversity",13.008,17.277,3.156,13.008,23.464,4320.92418543,6396.17803907,3106.30374988,10.0375844771,10.0375844771,37.7344244694,4758.14105118,1052.1835542,2958.71739264,2958.71739264,5166.73316009,5268.49680825,774.575064101,"Kale","Bosque Ripario",1
"21","ANH_228","Simpson diversity",10.322,12.051,1.875,10.322,15.725,4320.92418543,6396.17803907,3106.30374988,10.0375844771,10.0375844771,37.7344244694,4758.14105118,1052.1835542,2958.71739264,2958.71739264,5166.73316009,5268.49680825,774.575064101,"Kale","Bosque Ripario",1
"22","ANH_272","Species richness",10,18.471,9.601,11.426,60.308,18221.936136,1348.94294073,1762.44669257,118.25315263,118.25315263,34.0313294509,2070.7818758,69.7476986481,1421.57395949,1421.57395949,6759.30864761,1674.9819874,2.85071262707,"Caracterizacion","Pastos",1
"23","ANH_272","Shannon diversity",8.585,15.118,6.05,8.585,26.976,18221.936136,1348.94294073,1762.44669257,118.25315263,118.25315263,34.0313294509,2070.7818758,69.7476986481,1421.57395949,1421.57395949,6759.30864761,1674.9819874,2.85071262707,"Caracterizacion","Pastos",1
"24","ANH_272","Simpson diversity",7.41,12.364,4.613,7.41,21.405,18221.936136,1348.94294073,1762.44669257,118.25315263,118.25315263,34.0313294509,2070.7818758,69.7476986481,1421.57395949,1421.57395949,6759.30864761,1674.9819874,2.85071262707,"Caracterizacion","Pastos",1
"25","ANH_289","Species richness",12,50.25,46.385,17.931,258.688,13994.5710679,5776.2561409,2102.71809066,0,0,15.4867700411,2559.61625979,1368.43476759,2848.8707388,4165.45824426,2456.27969226,52.7816448776,4042.73488304,"Caracterizacion","Bosque Ripario",1
"26","ANH_289","Shannon diversity",10.198,29.047,16.543,10.198,61.471,13994.5710679,5776.2561409,2102.71809066,0,0,15.4867700411,2559.61625979,1368.43476759,2848.8707388,4165.45824426,2456.27969226,52.7816448776,4042.73488304,"Caracterizacion","Bosque Ripario",1
"27","ANH_289","Simpson diversity",8.526,15.3,9.915,8.526,34.733,13994.5710679,5776.2561409,2102.71809066,0,0,15.4867700411,2559.61625979,1368.43476759,2848.8707388,4165.45824426,2456.27969226,52.7816448776,4042.73488304,"Caracterizacion","Bosque Ripario",1
"28","ANH_189","Species richness",21,62.267,37.64,29.981,210.622,15420.3804029,5043.52075652,2234.01953494,0,0,215.82601981,1322.72823256,2072.15942254,1221.6959345,2943.38093061,3902.0299604,891.548513081,2954.27293381,"Caracterizacion","Bosque Denso",1
"29","ANH_189","Shannon diversity",16.145,30.088,8.204,16.145,46.168,15420.3804029,5043.52075652,2234.01953494,0,0,215.82601981,1322.72823256,2072.15942254,1221.6959345,2943.38093061,3902.0299604,891.548513081,2954.27293381,"Caracterizacion","Bosque Denso",1
"30","ANH_189","Simpson diversity",12.752,17.706,4.047,12.752,25.637,15420.3804029,5043.52075652,2234.01953494,0,0,215.82601981,1322.72823256,2072.15942254,1221.6959345,2943.38093061,3902.0299604,891.548513081,2954.27293381,"Caracterizacion","Bosque Denso",1
"31","ANH_191","Species richness",44,57.984,9.517,48.174,90.857,7579.18111166,4368.03016238,1946.92857417,0,0,74.2339310474,7724.91642868,1.70647206919,486.666468012,486.666468012,13993.2289563,20.7814018937,9218.20028557,"Kale","Bosque Abierto",1
"32","ANH_191","Shannon diversity",29.415,35.107,2.682,29.85,40.364,7579.18111166,4368.03016238,1946.92857417,0,0,74.2339310474,7724.91642868,1.70647206919,486.666468012,486.666468012,13993.2289563,20.7814018937,9218.20028557,"Kale","Bosque Abierto",1
"33","ANH_191","Simpson diversity",21.716,24.558,2.412,21.716,29.286,7579.18111166,4368.03016238,1946.92857417,0,0,74.2339310474,7724.91642868,1.70647206919,486.666468012,486.666468012,13993.2289563,20.7814018937,9218.20028557,"Kale","Bosque Abierto",1
"34","ANH_192","Species richness",46,54.433,6.118,48.358,76.163,6615.64910197,5193.63806221,1808.27915653,108.765818899,4.53217982667,841.669467865,8375.66711207,1.18235328544,153.59574701,1593.98575716,13526.8372255,14.778395987,8710.00396086,"Kale","Bosque Abierto",1
"35","ANH_192","Shannon diversity",9.83,10.449,0.844,9.83,12.104,6615.64910197,5193.63806221,1808.27915653,108.765818899,4.53217982667,841.669467865,8375.66711207,1.18235328544,153.59574701,1593.98575716,13526.8372255,14.778395987,8710.00396086,"Kale","Bosque Abierto",1
"36","ANH_192","Simpson diversity",3.679,3.7,0.3,3.679,4.287,6615.64910197,5193.63806221,1808.27915653,108.765818899,4.53217982667,841.669467865,8375.66711207,1.18235328544,153.59574701,1593.98575716,13526.8372255,14.778395987,8710.00396086,"Kale","Bosque Abierto",1
"37","ANH_223","Species richness",20,32.222,10.456,22.86,72.233,1200.59333084,1787.59044105,7714.98540982,287.578695557,88.975224116,140.04484974,3589.61409619,8918.74144673,1235.9976209,1235.9976209,7667.06828118,6951.14760986,3342.74711302,"Platero","Palma",1
"38","ANH_223","Shannon diversity",15.843,23.317,4.472,15.843,32.081,1200.59333084,1787.59044105,7714.98540982,287.578695557,88.975224116,140.04484974,3589.61409619,8918.74144673,1235.9976209,1235.9976209,7667.06828118,6951.14760986,3342.74711302,"Platero","Palma",1
"39","ANH_223","Simpson diversity",13.065,18,3.078,13.065,24.033,1200.59333084,1787.59044105,7714.98540982,287.578695557,88.975224116,140.04484974,3589.61409619,8918.74144673,1235.9976209,1235.9976209,7667.06828118,6951.14760986,3342.74711302,"Platero","Palma",1
