"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"22","_A_N_H___1_2_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___1_3_","Species richness",2,2.5,1.107,2.037,8.808,"ANH_125","CapManual",0.888888888888889
"23","_A_N_H___1_2_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___1_3_","Shannon diversity",2,3.375,1.169,2,5.666,"ANH_125","CapManual",0.888888888888889
"24","_A_N_H___1_2_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___1_3_","Simpson diversity",2,2,0.475,2,2.931,"ANH_125","CapManual",0.888888888888889
"25","_A_N_H___1_3_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_5_","Species richness",1,1,0.284,1,1.799,"ANH_133","CapManual",0.555555555555556
"26","_A_N_H___1_3_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_5_","Shannon diversity",1,1,0,1,1,"ANH_133","CapManual",0.555555555555556
"27","_A_N_H___1_3_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_5_","Simpson diversity",1,1,0,1,1,"ANH_133","CapManual",0.555555555555556
"28","_A_N_H___1_3_4___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_7_","Species richness",3,3,0.506,3,4.639,"ANH_134","CapManual",0.555555555555556
"29","_A_N_H___1_3_4___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_7_","Shannon diversity",2.363,2.614,0.523,2.363,3.638,"ANH_134","CapManual",0.555555555555556
"30","_A_N_H___1_3_4___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_7_","Simpson diversity",2.051,2.292,0.622,2.051,3.511,"ANH_134","CapManual",0.555555555555556
"31","_A_N_H___1_3_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_2___0_3___2_9_","Species richness",1,1,0.284,1,1.799,"ANH_137","CapManual",0.888888888888889
"32","_A_N_H___1_3_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_2___0_3___2_9_","Shannon diversity",1,1,0,1,1,"ANH_137","CapManual",0.888888888888889
"33","_A_N_H___1_3_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_2___0_3___2_9_","Simpson diversity",1,1,0,1,1,"ANH_137","CapManual",0.888888888888889
"34","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_2___0_3___2_8_","Species richness",2,2.5,1.107,2.037,8.808,"ANH_138","CapManual",0.888888888888889
"35","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_2___0_3___2_8_","Shannon diversity",2,3.375,1.106,2,5.543,"ANH_138","CapManual",0.888888888888889
"36","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_2___0_3___2_8_","Simpson diversity",2,2,0.471,2,2.924,"ANH_138","CapManual",0.888888888888889
"37","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_9_","Species richness",1,1,0.312,1,2.549,"ANH_138","CapManual",0.888888888888889
"38","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_9_","Shannon diversity",1,0,0,1,0,"ANH_138","CapManual",0.888888888888889
"39","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_9_","Simpson diversity",1,1,0,1,1,"ANH_138","CapManual",0.888888888888889
"40","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___0_9_","Species richness",1,1,0.2,1,1.464,"ANH_138","CapManual",0.888888888888889
"41","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___0_9_","Shannon diversity",1,1,0,1,1,"ANH_138","CapManual",0.888888888888889
"42","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___0_9_","Simpson diversity",1,1,0,1,1,"ANH_138","CapManual",0.888888888888889
"43","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___1_2_","Species richness",2,2,0.182,2,2.402,"ANH_138","CapManual",0.888888888888889
"44","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___1_2_","Shannon diversity",2,2.137,0.213,2,2.554,"ANH_138","CapManual",0.888888888888889
"45","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___1_2_","Simpson diversity",2,2.333,0.277,2,2.877,"ANH_138","CapManual",0.888888888888889
"46","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___1_2_","Species richness",1,1,0.08,1,1.165,"ANH_138","CapManual",0.888888888888889
"47","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___1_2_","Shannon diversity",1,1,0,1,1,"ANH_138","CapManual",0.888888888888889
"48","_A_N_H___1_3_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___1_2_","Simpson diversity",1,1,0,1,1,"ANH_138","CapManual",0.888888888888889
"49","_A_N_H___1_4_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_2___0_4___0_1_","Species richness",1,1,0.312,1,2.549,"ANH_142","CapManual",0.888888888888889
"50","_A_N_H___1_4_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_2___0_4___0_1_","Shannon diversity",1,0,0,1,0,"ANH_142","CapManual",0.888888888888889
"51","_A_N_H___1_4_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_2___0_4___0_1_","Simpson diversity",1,NA,0,NA,NA,"ANH_142","CapManual",0.888888888888889
