"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobMam","samplEff.1"
"16","ANH_74","Species richness",14,20.198,7.492,14.965,53.818,4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario",0.750375939849624
"17","ANH_74","Shannon diversity",5.514,6.018,0.733,5.514,7.454,4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario",0.750375939849624
"18","ANH_74","Simpson diversity",3.326,3.392,0.423,3.326,4.222,4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario",0.750375939849624
"19","ANH_72","Species richness",16,19.983,5.271,16.555,44.608,4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario",0.948872180451128
"20","ANH_72","Shannon diversity",8.015,8.378,0.571,8.015,9.497,4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario",0.948872180451128
"21","ANH_72","Simpson diversity",6.231,6.374,0.42,6.231,7.197,4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario",0.948872180451128
"22","ANH_65","Species richness",9,10.982,3.71,9.179,30.945,4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma",0.8
"23","ANH_65","Shannon diversity",4.268,4.486,0.472,4.268,5.41,4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma",0.8
"24","ANH_65","Simpson diversity",3.193,3.258,0.311,3.193,3.869,4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma",0.8
"25","ANH_73","Species richness",12,18.194,7.488,12.964,51.793,5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario",0.977443609022556
"26","ANH_73","Shannon diversity",4.482,4.881,0.601,4.482,6.06,5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario",0.977443609022556
"27","ANH_73","Simpson diversity",3.155,3.218,0.324,3.155,3.853,5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario",0.977443609022556
"28","ANH_76","Species richness",9,16.925,11.555,9.978,73.229,1868.15359448,12038.9796725,99.4318006865,119.299591654,119.299591654,116.701861761,2031.12791191,3664.56164277,7275.65196227,7916.46815566,3186.44977553,8397.65838551,1354.57572843,"Kale","Bosque Ripario",0.858646616541353
"29","ANH_76","Shannon diversity",4.271,4.608,0.446,4.271,5.482,1868.15359448,12038.9796725,99.4318006865,119.299591654,119.299591654,116.701861761,2031.12791191,3664.56164277,7275.65196227,7916.46815566,3186.44977553,8397.65838551,1354.57572843,"Kale","Bosque Ripario",0.858646616541353
"30","ANH_76","Simpson diversity",3.572,3.661,0.234,3.572,4.119,1868.15359448,12038.9796725,99.4318006865,119.299591654,119.299591654,116.701861761,2031.12791191,3664.56164277,7275.65196227,7916.46815566,3186.44977553,8397.65838551,1354.57572843,"Kale","Bosque Ripario",0.858646616541353
