"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","grp","cmb_smpEf","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Tipo","Habitat","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","CobAves","CobHerp","CobCopr","CobMarip","CobHorm","CobColl","CobMam","CobBot","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec","Red.Hidrica","CuerpAgua","NomCuerpAg","FInt19meanx","HEH18meanx"
"32","ANH_151","Shannon diversity",10.758,15.832,4.087,10.758,23.843,"VES",0.756380510440835,"7°21' 57,524"" N","73°47' 50,165"" W",7.36597900024,-73.797268,"Herpetos","T","Bosque ripario",4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,5213.48009059,13782.0381233,0,0,5875.72411933,11283.8654382,1497.09942206,"PVAa","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,19.3209091367,"Kale",5213.48009059,0,4598.61976442,3324.20963395,NA,NA,NA,10,NA
"33","ANH_151","Simpson diversity",9.8,14.75,2.852,9.8,20.34,"VES",0.756380510440835,"7°21' 57,524"" N","73°47' 50,165"" W",7.36597900024,-73.797268,"Herpetos","T","Bosque ripario",4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,5213.48009059,13782.0381233,0,0,5875.72411933,11283.8654382,1497.09942206,"PVAa","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,19.3209091367,"Kale",5213.48009059,0,4598.61976442,3324.20963395,NA,NA,NA,10,NA
"34","ANH_152","Species richness",4,5.6,3.046,4.141,22.093,"VES",0.777262180974478,"7°20' 49,812"" N","73°45' 46,512"" W",7.34717000024,-73.76292,"Herpetos","T","Bosque ripario",2550.16262916,104.011820653,3098.2126889,10541.1655143,1827.82908326,9122.16296479,15286.193745,0,0,8099.82572711,11103.7935057,1023.83415812,"PVBc2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,183.668761621,"Caracterizacion",9122.16296479,0,2451.79776636,7111.53314084,NA,NA,NA,10,NA
"35","ANH_152","Shannon diversity",3.364,4.566,1.635,3.364,7.771,"VES",0.777262180974478,"7°20' 49,812"" N","73°45' 46,512"" W",7.34717000024,-73.76292,"Herpetos","T","Bosque ripario",2550.16262916,104.011820653,3098.2126889,10541.1655143,1827.82908326,9122.16296479,15286.193745,0,0,8099.82572711,11103.7935057,1023.83415812,"PVBc2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,183.668761621,"Caracterizacion",9122.16296479,0,2451.79776636,7111.53314084,NA,NA,NA,10,NA
"36","ANH_152","Simpson diversity",2.909,3.4,1.263,2.909,5.876,"VES",0.777262180974478,"7°20' 49,812"" N","73°45' 46,512"" W",7.34717000024,-73.76292,"Herpetos","T","Bosque ripario",2550.16262916,104.011820653,3098.2126889,10541.1655143,1827.82908326,9122.16296479,15286.193745,0,0,8099.82572711,11103.7935057,1023.83415812,"PVBc2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,183.668761621,"Caracterizacion",9122.16296479,0,2451.79776636,7111.53314084,NA,NA,NA,10,NA
"37","ANH_153","Species richness",7,10,4.062,7.406,29.171,"VES",0.54292343387471,"7,3841045","-73,8473915",7.3841045,-73.8473915,"Herpetos","T","Bosque ripario",0,1550.53471658,1721.79748305,1721.79748305,6103.76231745,292.80194752,12907.7171342,46.8714915381,46.8714915381,4363.80019145,5496.46773748,3575.96798577,"PVAa","Palma",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,419.562189,"Kale",292.80194752,0,5342.96323236,1934.00784961,NA,NA,NA,5.5,NA
"38","ANH_153","Shannon diversity",6.336,9.555,2.922,6.336,15.281,"VES",0.54292343387471,"7,3841045","-73,8473915",7.3841045,-73.8473915,"Herpetos","T","Bosque ripario",0,1550.53471658,1721.79748305,1721.79748305,6103.76231745,292.80194752,12907.7171342,46.8714915381,46.8714915381,4363.80019145,5496.46773748,3575.96798577,"PVAa","Palma",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,419.562189,"Kale",292.80194752,0,5342.96323236,1934.00784961,NA,NA,NA,5.5,NA
"39","ANH_153","Simpson diversity",5.762,8.5,3.041,5.762,14.46,"VES",0.54292343387471,"7,3841045","-73,8473915",7.3841045,-73.8473915,"Herpetos","T","Bosque ripario",0,1550.53471658,1721.79748305,1721.79748305,6103.76231745,292.80194752,12907.7171342,46.8714915381,46.8714915381,4363.80019145,5496.46773748,3575.96798577,"PVAa","Palma",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,419.562189,"Kale",292.80194752,0,5342.96323236,1934.00784961,NA,NA,NA,5.5,NA
"40","ANH_154","Species richness",6,9.375,5.473,6.365,37.241,"VES",0.712296983758701,"7°22' 37,369"" N","73°43' 56,208"" W",7.37704700024,-73.73228,"Herpetos","T","Bosque denso",5497.72024775,782.098257309,2567.97564805,11701.2498875,2553.46731253,12387.7616677,19945.5923974,0,0,7071.85971298,13362.502474,2331.10109642,"LVCb2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,662.460780049,"Caracterizacion",12387.7616677,0,5777.45127819,6917.56778495,NA,NA,NA,11,NA
"41","ANH_154","Shannon diversity",5.326,7.605,2.244,5.326,12.004,"VES",0.712296983758701,"7°22' 37,369"" N","73°43' 56,208"" W",7.37704700024,-73.73228,"Herpetos","T","Bosque denso",5497.72024775,782.098257309,2567.97564805,11701.2498875,2553.46731253,12387.7616677,19945.5923974,0,0,7071.85971298,13362.502474,2331.10109642,"LVCb2","Bosque Ripario",NA,"Bosque Ripario",NA,NA,NA,NA,NA,NA,662.460780049,"Caracterizacion",12387.7616677,0,5777.45127819,6917.56778495,NA,NA,NA,11,NA
