"","parentEven","richness","Shannon","Simpson","samplEff.1","shann_corr","simp_corr","parentEven.y","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Tipo","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec"
"63","ANH_248",19,2.62331643,0.9018595,1,2.62331643,0.9018595,"ANH_248","7°15' 37,042"" N","73°48' 49,703"" W",7.26028939207,-73.8138063989,"Unidad Muestral","OE",2925.78033106,412.669756548,2973.59115839,3097.03145098,3170.90552704,11564.7723232,7193.63243579,0,0,8744.10462864,2698.80647916,5722.46223523,"PVAa","Bosque Ripario",86.2216461436,"Platero",7193.63243579,0,606.207986219,3841.63434046
"64","ANH_248",19,2.62331643,0.9018595,1,2.62331643,0.9018595,"ANH_248","7°15' 38,500"" N","73°48' 49,100"" W",7.26069444468,-73.8136388889,"Camaras","PE",2933.2646087,412.604599001,3007.04736606,3126.31670542,3147.53473484,11527.4020301,7211.96006624,0,0,8753.88052184,2743.64722157,5717.92309955,"PVAa","Bosque Ripario",86.2216461436,"Platero",7211.96006624,0,581.566271656,3844.45762126
"65","ANH_250",26,2.86745258,0.9209178,1,2.86745258,0.9209178,"ANH_250","7°18' 22,358"" N","73°47' 30,626"" W",7.30621068893,-73.7918404417,"Unidad Muestral","OE",263.958092922,106.341817425,3113.919178,7786.1604244,132.306827416,8339.16101066,10343.6052631,0,0,10465.2780703,6891.35848025,1225.15087202,"PVAa","Bosque Ripario",18.0408152179,"Platero",8339.16101066,0,980.507516881,5856.00340154
"66","ANH_250",26,2.86745258,0.9209178,1,2.86745258,0.9209178,"ANH_250","7°18' 23,500"" N","73°47' 30,500"" W",7.30652777802,-73.7918055556,"Camaras","PE",230.759695266,121.652701772,3097.05724468,7821.43938003,114.381803662,8316.74766226,10360.1649276,0,0,10451.7943531,6926.20706805,1190.46214353,"PVAa","Bosque Ripario",18.0408152179,"Platero",8316.74766226,0,948.636083016,5845.88516954
"67","ANH_252",20,2.42099385,0.8531821,1,2.42099385,0.8531821,"ANH_252","7°17' 35,210"" N","73°45' 43,528"" W",7.29311392634,-73.7620912421,"Unidad Muestral","OE",3609.18407561,228.209086395,2150.81328908,7240.04854177,2910.31981118,11744.9384423,13114.8927637,0,0,13960.0115576,5267.94229348,628.233475771,"PVCb2","Bosque Denso",32.3578898741,"Caracterizacion",11744.9384423,0,2598.18455745,4660.68214659
"68","ANH_253",34,3.2674514,0.95252009,1,3.2674514,0.95252009,"ANH_253","7°19' 59,400"" N","73°50' 3,400"" W",7.33316666691,-73.8342777778,"Camaras","PE",570.422805813,744.141592254,7392.23488714,7392.23488714,609.989917513,3202.65606914,8394.9958427,0,0,4934.14690676,7901.14052294,28.1263652175,"PVCb2","Bosque Ripario",99.7831160149,"Kale",3202.65606914,0,720.092652635,744.998005835
"69","ANH_253",34,3.2674514,0.95252009,1,3.2674514,0.95252009,"ANH_253","7°19' 58,758"" N","73°50' 4,522"" W",7.33298846409,-73.8345894997,"Unidad Muestral","OE",530.897874732,712.393321448,7398.75829717,7398.75829717,588.33643466,3209.22200724,8358.85154785,0,0,4911.99039546,7869.71357345,0.290794128572,"PVFa","Bosque Ripario",99.7831160149,"Kale",3209.22200724,0,691.876441647,707.768331781
"70","ANH_254",25,2.6844126,0.889,1,2.6844126,0.889,"ANH_254","7°15' 20,400"" N","73°50' 26,100"" W",7.2556666669,-73.8405833333,"Camaras","PE",2830.54580762,2141.03935014,1468.0272663,5023.88199172,6027.83669646,11576.5649933,4238.49366873,853.72678678,853.72678678,6019.07234364,2944.61806862,6503.78778457,"PVAa","Palma",311.763235134,"Platero",4238.49366873,0,2563.80037708,1173.65723597
"71","ANH_254",25,2.6844126,0.889,1,2.6844126,0.889,"ANH_254","7°15' 19,292"" N","73°50' 25,593"" W",7.25535875762,-73.8404424339,"Unidad Muestral","OE",2800.6248423,2115.35157891,1501.05530904,4995.3018452,6007.63316687,11611.1826818,4254.1817729,817.391632987,817.391632987,6044.97364176,2907.39729355,6538.74605572,"PVAa","Palma",311.763235134,"Platero",4254.1817729,0,2526.60081501,1170.44702672
"72","ANH_256",18,2.4838296,0.87981859,1,2.4838296,0.87981859,"ANH_256","7°17' 41,795"" N","73°47' 0,669"" W",7.2949430146,-73.7835192164,"Unidad Muestral","OE",1764.8965244,1084.80294942,3128.5429027,6728.98441261,581.493834489,9875.38192776,10842.0539559,958.51295416,580.124754009,11692.6641164,5528.715318,1945.65905257,"PVAa","Palma",1096.10755595,"Caracterizacion",9875.38192776,0,2500.11033416,5377.97399147
