"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobAves","samplEff.1"
"44","ANH_223","Shannon diversity",17.193,22.136,2.642,17.193,27.313,1200.59333084,1787.59044105,7714.98540982,287.578695557,88.975224116,140.04484974,3589.61409619,8918.74144673,1235.9976209,1235.9976209,7667.06828118,6951.14760986,3342.74711302,"Platero","Palma",1
"45","ANH_223","Simpson diversity",14.654,19.494,2.944,14.654,25.263,1200.59333084,1787.59044105,7714.98540982,287.578695557,88.975224116,140.04484974,3589.61409619,8918.74144673,1235.9976209,1235.9976209,7667.06828118,6951.14760986,3342.74711302,"Platero","Palma",1
"46","ANH_225","Species richness",18,49.529,39.022,22.768,226.496,5115.14594567,6801.97559666,2430.17980783,376.806243038,376.806243038,151.450709365,3799.05122069,2387.24183797,3299.44352059,6835.52702059,3962.67904707,2394.88904451,3538.10890969,"Platero","Palma",1
"47","ANH_225","Shannon diversity",12.175,16.335,3.024,12.175,22.262,5115.14594567,6801.97559666,2430.17980783,376.806243038,376.806243038,151.450709365,3799.05122069,2387.24183797,3299.44352059,6835.52702059,3962.67904707,2394.88904451,3538.10890969,"Platero","Palma",1
"48","ANH_225","Simpson diversity",9.514,10.9,1.623,9.514,14.081,5115.14594567,6801.97559666,2430.17980783,376.806243038,376.806243038,151.450709365,3799.05122069,2387.24183797,3299.44352059,6835.52702059,3962.67904707,2394.88904451,3538.10890969,"Platero","Palma",1
"49","ANH_226","Species richness",5,10.455,6.395,5.881,38.752,3585.02524121,2201.95030505,9543.14632821,1194.07698026,352.268683748,841.669467865,4357.4931159,7185.61774977,1956.70367542,1956.70367542,10308.6371862,6642.7120178,4475.02559896,"Platero","Palma",1
"50","ANH_226","Shannon diversity",3.189,5.156,1.748,3.189,8.583,3585.02524121,2201.95030505,9543.14632821,1194.07698026,352.268683748,841.669467865,4357.4931159,7185.61774977,1956.70367542,1956.70367542,10308.6371862,6642.7120178,4475.02559896,"Platero","Palma",1
"51","ANH_226","Simpson diversity",2.283,2.619,1.322,2.283,5.211,3585.02524121,2201.95030505,9543.14632821,1194.07698026,352.268683748,841.669467865,4357.4931159,7185.61774977,1956.70367542,1956.70367542,10308.6371862,6642.7120178,4475.02559896,"Platero","Palma",1
"52","ANH_227","Species richness",26,40.993,12.367,29.653,87.534,9207.27755886,1464.09731436,5335.64445788,1155.26100605,1155.26100605,841.669467865,2367.93187217,871.593523562,1815.22383693,2013.12071448,2845.32682283,875.25617641,3274.94846683,"Platero","Palma",1
"53","ANH_227","Shannon diversity",12.488,15.088,1.908,12.488,18.829,9207.27755886,1464.09731436,5335.64445788,1155.26100605,1155.26100605,841.669467865,2367.93187217,871.593523562,1815.22383693,2013.12071448,2845.32682283,875.25617641,3274.94846683,"Platero","Palma",1
"54","ANH_227","Simpson diversity",6.821,7.188,1.143,6.821,9.427,9207.27755886,1464.09731436,5335.64445788,1155.26100605,1155.26100605,841.669467865,2367.93187217,871.593523562,1815.22383693,2013.12071448,2845.32682283,875.25617641,3274.94846683,"Platero","Palma",1
"55","ANH_228","Species richness",24,41.719,14.172,28.465,94.313,4320.92418543,6396.17803907,3106.30374988,10.0375844771,10.0375844771,37.7344244694,4758.14105118,1052.1835542,2958.71739264,2958.71739264,5166.73316009,5268.49680825,774.575064101,"Kale","Bosque Ripario",1
