"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobHerp","samplEff.1"
"37","ANH_178","Species richness",5,7.667,3.924,5.325,26.858,5419.81410108,13713.1474018,686.457881277,27.7547271223,27.7547271223,15.6976228252,5028.70021058,1818.95479447,3849.8665588,10161.5715388,103.352088216,5182.7315472,4715.19106745,"Kale","Vías",0.160092807424594
"38","ANH_178","Shannon diversity",4.327,6.718,2.105,4.327,10.844,5419.81410108,13713.1474018,686.457881277,27.7547271223,27.7547271223,15.6976228252,5028.70021058,1818.95479447,3849.8665588,10161.5715388,103.352088216,5182.7315472,4715.19106745,"Kale","Vías",0.160092807424594
"39","ANH_178","Simpson diversity",3.857,6,3.17,3.857,12.213,5419.81410108,13713.1474018,686.457881277,27.7547271223,27.7547271223,15.6976228252,5028.70021058,1818.95479447,3849.8665588,10161.5715388,103.352088216,5182.7315472,4715.19106745,"Kale","Vías",0.160092807424594
"40","ANH_117","Species richness",5,6.895,3.559,5.17,26.067,1250.34556023,10812.9671575,621.738218213,0,0,55.5231894305,1869.41343296,2276.30596642,6890.02563213,6890.02563213,4531.26312019,9172.49771502,63.3444318525,"Kale","Bosque Ripario",0.612529002320186
"41","ANH_117","Shannon diversity",3.292,3.932,1.018,3.292,5.928,1250.34556023,10812.9671575,621.738218213,0,0,55.5231894305,1869.41343296,2276.30596642,6890.02563213,6890.02563213,4531.26312019,9172.49771502,63.3444318525,"Kale","Bosque Ripario",0.612529002320186
"42","ANH_117","Simpson diversity",2.524,2.758,0.844,2.524,4.412,1250.34556023,10812.9671575,621.738218213,0,0,55.5231894305,1869.41343296,2276.30596642,6890.02563213,6890.02563213,4531.26312019,9172.49771502,63.3444318525,"Kale","Bosque Ripario",0.612529002320186
"43","ANH_158","Species richness",10,14.404,7.047,10.484,50.094,5283.05583874,8416.46915865,2090.20268941,0,0,18.8753280657,2600.65829088,254.880223154,6032.01050031,6032.01050031,2656.51228879,2866.26564404,1247.63943078,"Kale","Bosque Ripario",0.751740139211137
"44","ANH_158","Shannon diversity",6.123,7.136,1.239,6.123,9.564,5283.05583874,8416.46915865,2090.20268941,0,0,18.8753280657,2600.65829088,254.880223154,6032.01050031,6032.01050031,2656.51228879,2866.26564404,1247.63943078,"Kale","Bosque Ripario",0.751740139211137
"45","ANH_158","Simpson diversity",4.323,4.659,1.013,4.323,6.645,5283.05583874,8416.46915865,2090.20268941,0,0,18.8753280657,2600.65829088,254.880223154,6032.01050031,6032.01050031,2656.51228879,2866.26564404,1247.63943078,"Kale","Bosque Ripario",0.751740139211137
"46","ANH_150","Species richness",9,9.958,1.804,9.086,19.685,4934.93594831,8078.15932235,1924.19205857,0,0,18.8753280657,2315.92134388,573.348780855,5941.04238573,5941.04238573,2492.8691893,2639.59373664,964.890435938,"Kale","Bosque Ripario",0.658932714617169
