"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"51","_A_N_H___3_7_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___2_3_","Simpson diversity",1,1,0,1,1,"ANH_373","CapManual",0.4
"52","_A_N_H___3_7_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___2_3_","Species richness",2,2.5,1.107,2.037,8.808,"ANH_373","CapManual",0.4
"53","_A_N_H___3_7_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___2_3_","Shannon diversity",2,3.375,1.143,2,5.615,"ANH_373","CapManual",0.4
"54","_A_N_H___3_7_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___2_3_","Simpson diversity",2,2,0.475,2,2.931,"ANH_373","CapManual",0.4
"55","_A_N_H___3_9_1___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___2_1_","Species richness",1,1,0.312,1,2.549,"ANH_391","CapManual",0.8
"56","_A_N_H___3_9_1___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___2_1_","Shannon diversity",1,0,0,1,0,"ANH_391","CapManual",0.8
"57","_A_N_H___3_9_1___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___2_1_","Simpson diversity",1,1,0,1,1,"ANH_391","CapManual",0.8
"58","_A_N_H___3_9_1___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___2_1_","Species richness",1,1,0.284,1,1.799,"ANH_391","CapManual",0.8
"59","_A_N_H___3_9_1___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___2_1_","Shannon diversity",1,1,0,1,1,"ANH_391","CapManual",0.8
"60","_A_N_H___3_9_1___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___2_1_","Simpson diversity",1,1,0,1,1,"ANH_391","CapManual",0.8
