"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobHerp","samplEff.1"
"49","ANH_155","Species richness",2,2,0.46,2,3.596,5383.47449759,14821.2422577,1153.68143652,0,0,662.46078,0,863.19112977,3916.42347859,12376.2494579,1183.81832869,7076.04446077,5228.36441676,"Caracterizacion","Bosque Ripario",0.455635491606715
"50","ANH_155","Shannon diversity",1.649,1.853,0.496,1.649,2.825,5383.47449759,14821.2422577,1153.68143652,0,0,662.46078,0,863.19112977,3916.42347859,12376.2494579,1183.81832869,7076.04446077,5228.36441676,"Caracterizacion","Bosque Ripario",0.455635491606715
"51","ANH_155","Simpson diversity",1.471,1.667,0.58,1.471,2.804,5383.47449759,14821.2422577,1153.68143652,0,0,662.46078,0,863.19112977,3916.42347859,12376.2494579,1183.81832869,7076.04446077,5228.36441676,"Caracterizacion","Bosque Ripario",0.455635491606715
"52","ANH_164","Species richness",1,1,0.007,1,1.013,0,1065.98467024,4886.63414764,646.569935147,15.5225351489,16.1808855167,1720.55843326,5449.57007572,3855.85136943,4238.45180422,2635.30905864,2489.6110323,1729.18873389,"Platero","Ciénaga",0.541966426858513
"53","ANH_164","Shannon diversity",1,1,0,1,1,0,1065.98467024,4886.63414764,646.569935147,15.5225351489,16.1808855167,1720.55843326,5449.57007572,3855.85136943,4238.45180422,2635.30905864,2489.6110323,1729.18873389,"Platero","Ciénaga",0.541966426858513
"54","ANH_164","Simpson diversity",1,1,0,1,1,0,1065.98467024,4886.63414764,646.569935147,15.5225351489,16.1808855167,1720.55843326,5449.57007572,3855.85136943,4238.45180422,2635.30905864,2489.6110323,1729.18873389,"Platero","Ciénaga",0.541966426858513
"55","ANH_162","Species richness",2,2.5,1.107,2.037,8.808,0,1639.02557715,1405.30265122,1042.69606286,6.05759854513,65.005487393,28.9839996631,2026.46891354,2733.50798059,2755.4853328,1442.67475031,1034.64346418,2934.33208527,"Kale","Ciénaga",0.738609112709832
"56","ANH_162","Shannon diversity",2,3.375,1.15,2,5.628,0,1639.02557715,1405.30265122,1042.69606286,6.05759854513,65.005487393,28.9839996631,2026.46891354,2733.50798059,2755.4853328,1442.67475031,1034.64346418,2934.33208527,"Kale","Ciénaga",0.738609112709832
"57","ANH_162","Simpson diversity",2,2,0.473,2,2.927,0,1639.02557715,1405.30265122,1042.69606286,6.05759854513,65.005487393,28.9839996631,2026.46891354,2733.50798059,2755.4853328,1442.67475031,1034.64346418,2934.33208527,"Kale","Ciénaga",0.738609112709832
"58","ANH_148","Species richness",7,20.636,12.274,10.013,68.72,4358.77744272,6388.93089546,3163.28693661,0,0,8.70872486456,4829.71146419,1116.64982836,2897.38725802,2897.38725802,5238.11501567,5339.96129574,816.691526363,"Kale","Bosque Ripario",0.858513189448441
"59","ANH_148","Shannon diversity",5.293,12.593,8.108,5.293,28.484,4358.77744272,6388.93089546,3163.28693661,0,0,8.70872486456,4829.71146419,1116.64982836,2897.38725802,2897.38725802,5238.11501567,5339.96129574,816.691526363,"Kale","Bosque Ripario",0.858513189448441
"60","ANH_148","Simpson diversity",3.903,5.5,6.076,3.903,17.408,4358.77744272,6388.93089546,3163.28693661,0,0,8.70872486456,4829.71146419,1116.64982836,2897.38725802,2897.38725802,5238.11501567,5339.96129574,816.691526363,"Kale","Bosque Ripario",0.858513189448441
"61","ANH_149","Species richness",8,24.364,21.509,10.297,124.564,5360.44098506,8481.95185475,2229.33599391,0,0,68.9071628004,2751.45842821,104.488896536,5975.95704949,5975.95704949,2792.80420562,3013.11476475,1279.71203328,"Kale","Bosque Ripario",0.887290167865707
"62","ANH_149","Shannon diversity",7.187,19.066,12.13,7.187,42.84,5360.44098506,8481.95185475,2229.33599391,0,0,68.9071628004,2751.45842821,104.488896536,5975.95704949,5975.95704949,2792.80420562,3013.11476475,1279.71203328,"Kale","Bosque Ripario",0.887290167865707
"63","ANH_149","Simpson diversity",6.368,13.75,11.228,6.368,35.756,5360.44098506,8481.95185475,2229.33599391,0,0,68.9071628004,2751.45842821,104.488896536,5975.95704949,5975.95704949,2792.80420562,3013.11476475,1279.71203328,"Kale","Bosque Ripario",0.887290167865707
"64","ANH_158","Species richness",6,14.75,8.841,7.691,51.286,5283.05583874,8416.46915865,2090.20268941,0,0,18.8753280657,2600.65829088,254.880223154,6032.01050031,6032.01050031,2656.51228879,2866.26564404,1247.63943078,"Kale","Bosque Ripario",0.745803357314149
"65","ANH_158","Shannon diversity",5.299,13.143,6.683,5.299,26.242,5283.05583874,8416.46915865,2090.20268941,0,0,18.8753280657,2600.65829088,254.880223154,6032.01050031,6032.01050031,2656.51228879,2866.26564404,1247.63943078,"Kale","Bosque Ripario",0.745803357314149
"66","ANH_158","Simpson diversity",4.571,9.333,6.346,4.571,21.772,5283.05583874,8416.46915865,2090.20268941,0,0,18.8753280657,2600.65829088,254.880223154,6032.01050031,6032.01050031,2656.51228879,2866.26564404,1247.63943078,"Kale","Bosque Ripario",0.745803357314149
"67","ANH_150","Species richness",6,10.091,6.568,6.447,43.399,4934.93594831,8078.15932235,1924.19205857,0,0,18.8753280657,2315.92134388,573.348780855,5941.04238573,5941.04238573,2492.8691893,2639.59373664,964.890435938,"Kale","Bosque Ripario",0.90167865707434
"68","ANH_150","Shannon diversity",5.326,8.429,3.05,5.326,14.406,4934.93594831,8078.15932235,1924.19205857,0,0,18.8753280657,2315.92134388,573.348780855,5941.04238573,5941.04238573,2492.8691893,2639.59373664,964.890435938,"Kale","Bosque Ripario",0.90167865707434
"69","ANH_150","Simpson diversity",4.84,7.857,3.133,4.84,13.998,4934.93594831,8078.15932235,1924.19205857,0,0,18.8753280657,2315.92134388,573.348780855,5941.04238573,5941.04238573,2492.8691893,2639.59373664,964.890435938,"Kale","Bosque Ripario",0.90167865707434
"70","ANH_179","Species richness",2,2,0.47,2,3.581,11346.5510483,7791.86753243,2846.44211362,0,0,18.6696995506,1134.65609371,501.938904371,1673.79266887,7292.45541609,929.990228136,71.5733746313,6928.70447826,"Caracterizacion","Bosque Ripario",0.702637889688249
"71","ANH_179","Shannon diversity",1.332,1.398,0.287,1.332,1.961,11346.5510483,7791.86753243,2846.44211362,0,0,18.6696995506,1134.65609371,501.938904371,1673.79266887,7292.45541609,929.990228136,71.5733746313,6928.70447826,"Caracterizacion","Bosque Ripario",0.702637889688249
"72","ANH_179","Simpson diversity",1.18,1.18,0.215,1.18,1.601,11346.5510483,7791.86753243,2846.44211362,0,0,18.6696995506,1134.65609371,501.938904371,1673.79266887,7292.45541609,929.990228136,71.5733746313,6928.70447826,"Caracterizacion","Bosque Ripario",0.702637889688249
"73","ANH_178","Species richness",5,6.929,2.958,5.223,21.648,5419.81410108,13713.1474018,686.457881277,27.7547271223,27.7547271223,15.6976228252,5028.70021058,1818.95479447,3849.8665588,10161.5715388,103.352088216,5182.7315472,4715.19106745,"Kale","Vías",0.882494004796163
"74","ANH_178","Shannon diversity",4.711,7.924,3.056,4.711,13.914,5419.81410108,13713.1474018,686.457881277,27.7547271223,27.7547271223,15.6976228252,5028.70021058,1818.95479447,3849.8665588,10161.5715388,103.352088216,5182.7315472,4715.19106745,"Kale","Vías",0.882494004796163
"75","ANH_178","Simpson diversity",4.455,10.5,3.526,4.455,17.411,5419.81410108,13713.1474018,686.457881277,27.7547271223,27.7547271223,15.6976228252,5028.70021058,1818.95479447,3849.8665588,10161.5715388,103.352088216,5182.7315472,4715.19106745,"Kale","Vías",0.882494004796163
"76","ANH_171","Species richness",5,7.727,4.007,5.333,27.316,16197.2773975,4666.30838536,2548.09488152,0,0,215.82601981,1123.30327041,1730.95449493,278.662801408,2587.47546271,4531.94382162,995.727578387,2578.83093035,"Caracterizacion","Bosque Denso",0.712230215827338
"77","ANH_171","Shannon diversity",3.922,5.628,1.674,3.922,8.908,16197.2773975,4666.30838536,2548.09488152,0,0,215.82601981,1123.30327041,1730.95449493,278.662801408,2587.47546271,4531.94382162,995.727578387,2578.83093035,"Caracterizacion","Bosque Denso",0.712230215827338
"78","ANH_171","Simpson diversity",3.27,4.231,1.505,3.27,7.18,16197.2773975,4666.30838536,2548.09488152,0,0,215.82601981,1123.30327041,1730.95449493,278.662801408,2587.47546271,4531.94382162,995.727578387,2578.83093035,"Caracterizacion","Bosque Denso",0.712230215827338
"79","ANH_152","Species richness",4,4.889,1.949,4.066,15.961,8099.82572711,11103.7935057,1023.83415812,0,0,183.668761621,2550.16262916,104.011820653,3098.2126889,10541.1655143,1827.82908326,2451.79776636,7111.53314084,"Caracterizacion","Bosque Ripario",0.860911270983213
"80","ANH_152","Shannon diversity",3.37,4.382,1.071,3.37,6.481,8099.82572711,11103.7935057,1023.83415812,0,0,183.668761621,2550.16262916,104.011820653,3098.2126889,10541.1655143,1827.82908326,2451.79776636,7111.53314084,"Caracterizacion","Bosque Ripario",0.860911270983213
"81","ANH_152","Simpson diversity",3,4,1.079,3,6.114,8099.82572711,11103.7935057,1023.83415812,0,0,183.668761621,2550.16262916,104.011820653,3098.2126889,10541.1655143,1827.82908326,2451.79776636,7111.53314084,"Caracterizacion","Bosque Ripario",0.860911270983213
"82","ANH_141","Species richness",4,5.778,3.355,4.159,23.887,8765.00762013,4920.99017657,3974.05408405,15.6757298999,15.6757298999,841.669467865,3459.95773499,1.76345293614,4943.60449854,5378.35203016,2583.06949926,3.47031371622,5268.76462358,"Platero","Vías",0.434052757793765
"83","ANH_141","Shannon diversity",3.155,4.318,1.487,3.155,7.233,8765.00762013,4920.99017657,3974.05408405,15.6757298999,15.6757298999,841.669467865,3459.95773499,1.76345293614,4943.60449854,5378.35203016,2583.06949926,3.47031371622,5268.76462358,"Platero","Vías",0.434052757793765
"84","ANH_141","Simpson diversity",2.613,3.273,1.639,2.613,6.485,8765.00762013,4920.99017657,3974.05408405,15.6757298999,15.6757298999,841.669467865,3459.95773499,1.76345293614,4943.60449854,5378.35203016,2583.06949926,3.47031371622,5268.76462358,"Platero","Vías",0.434052757793765
"85","ANH_109","Species richness",3,3.833,1.798,3.063,13.998,1870.17913746,2040.99857978,611.00037254,134.308512745,0,33.9255733774,2621.08020641,313.658975118,1712.4251117,1712.4251117,4350.70255724,1724.23565215,4825.12437241,"Kale","Herbazal",0.882494004796163
"86","ANH_109","Shannon diversity",2.381,3.216,1.081,2.381,5.335,1870.17913746,2040.99857978,611.00037254,134.308512745,0,33.9255733774,2621.08020641,313.658975118,1712.4251117,1712.4251117,4350.70255724,1724.23565215,4825.12437241,"Kale","Herbazal",0.882494004796163
"87","ANH_109","Simpson diversity",2,2.5,1.116,2,4.688,1870.17913746,2040.99857978,611.00037254,134.308512745,0,33.9255733774,2621.08020641,313.658975118,1712.4251117,1712.4251117,4350.70255724,1724.23565215,4825.12437241,"Kale","Herbazal",0.882494004796163
"88","ANH_82","Species richness",2,2,0.461,2,3.572,4776.50219875,6104.58562563,4021.82697019,0,0,9.31710564999,6064.94201733,1100.57427174,2671.68573207,2671.68573207,8539.45971072,5977.99618082,3022.81786139,"Kale","Bosque Ripario",0.764988009592326
"89","ANH_82","Shannon diversity",1.569,1.728,0.428,1.569,2.566,4776.50219875,6104.58562563,4021.82697019,0,0,9.31710564999,6064.94201733,1100.57427174,2671.68573207,2671.68573207,8539.45971072,5977.99618082,3022.81786139,"Kale","Bosque Ripario",0.764988009592326
"90","ANH_82","Simpson diversity",1.385,1.5,0.469,1.385,2.419,4776.50219875,6104.58562563,4021.82697019,0,0,9.31710564999,6064.94201733,1100.57427174,2671.68573207,2671.68573207,8539.45971072,5977.99618082,3022.81786139,"Kale","Bosque Ripario",0.764988009592326
