"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobCopr","samplEff.1"
"33","ANH_136","Simpson diversity",2.476,2.571,0.534,2.476,3.618,3519.71643527,3918.08655039,7830.37668337,0,0,45.7606127029,3439.10903788,5226.22472141,1096.25815597,2542.11125603,9140.86710557,4449.04692583,2262.79724728,"Platero","Bosque Ripario",0.5
"34","ANH_142","Species richness",16,19.981,5.268,16.554,44.595,11164.8874488,7894.17095092,30.3195804972,0,0,664.464997752,712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,636.338589231,6907.38779167,"Caracterizacion","Bosque Ripario",0.5
"35","ANH_142","Shannon diversity",4.531,4.762,0.493,4.531,5.728,11164.8874488,7894.17095092,30.3195804972,0,0,664.464997752,712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,636.338589231,6907.38779167,"Caracterizacion","Bosque Ripario",0.5
"36","ANH_142","Simpson diversity",2.326,2.34,0.21,2.326,2.751,11164.8874488,7894.17095092,30.3195804972,0,0,664.464997752,712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,636.338589231,6907.38779167,"Caracterizacion","Bosque Ripario",0.5
"37","ANH_118","Species richness",5,5.493,1.308,5.029,13.349,4619.23581323,4157.51414291,2608.94056515,693.621580326,23.8041668133,27.5701937781,3778.92229983,1040.52527417,219.060489356,219.060489356,7071.29573852,3902.47316071,3449.10054815,"Kale","Herbazal",0.5
"38","ANH_118","Shannon diversity",1.869,1.932,0.258,1.869,2.438,4619.23581323,4157.51414291,2608.94056515,693.621580326,23.8041668133,27.5701937781,3778.92229983,1040.52527417,219.060489356,219.060489356,7071.29573852,3902.47316071,3449.10054815,"Kale","Herbazal",0.5
"39","ANH_118","Simpson diversity",1.393,1.4,0.138,1.393,1.671,4619.23581323,4157.51414291,2608.94056515,693.621580326,23.8041668133,27.5701937781,3778.92229983,1040.52527417,219.060489356,219.060489356,7071.29573852,3902.47316071,3449.10054815,"Kale","Herbazal",0.5
"40","ANH_365","Species richness",8,10.969,4.419,8.357,32.69,1252.26637029,10830.5067878,640.85987812,0,0,55.5231894305,1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,9191.13484621,82.3485781298,"Kale","Bosque Ripario",0.5
"41","ANH_365","Shannon diversity",3.535,3.742,0.368,3.535,4.464,1252.26637029,10830.5067878,640.85987812,0,0,55.5231894305,1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,9191.13484621,82.3485781298,"Kale","Bosque Ripario",0.5
"42","ANH_365","Simpson diversity",2.652,2.698,0.261,2.652,3.208,1252.26637029,10830.5067878,640.85987812,0,0,55.5231894305,1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,9191.13484621,82.3485781298,"Kale","Bosque Ripario",0.5
